Nombre: Alejandro Garcia,Edad: 21,Saldo: 5200,Activo:38000;
Nombre: Luis Hernandez,Edad:23,Saldo:3800,Activo:8000;
Nombre: Carlos Barrios,Edad: 25,Saldo: 2400,Activo: 3000;
Nombre: Francisco Gutierrez,Edad: 35,Saldo:5400,Activo: 42000;
Nombre: Maria Gutierez,Edad: 45,Saldo: 7500,Activo: 10000;
Nombre: Andrea Martinez,Edad: 21,Saldo: 9500,Activo: 38000;
Nombre: Carlos Hernández,Edad: 26,Saldo: 6300,Activo: 8000;
Nombre: Cristian Rosales,Edad: 29,Saldo: 5100,Activo: 6000;
Nombre: Erik Laguardia,Edad: 35,Saldo: 6800,Activo: 9000;
Nombre: Rodrigo Jimenez,Edad: 38,Saldo: 7800,Activo: 10000;
